Question Number,Question Status,Question Type,Mandate,Subject,Unit,Panel,Food Sector Area,Deadline,Deadline Type,Acceptance Date,Adoption Date,Clock stop date,Clock start date,Difference (EFSA working days)
EFSA-Q-2015-00519,Registration not yet completed,Application,M-2012-0276,Assessment of endocrine disrupting properties in EFSA Conclusions on the Pesticides Peer Review,Pesticides,-,Pesticides,-,-,-,-,-,-,-
EFSA-Q-2015-00518,-,Application,M-2015-0188,"Silicic acid, precipitated and dried (E 551 a) for all animal species",FEED,FEEDAP,Feed additives - applications under 1831/2003,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00517,In progress,Art 36 – Scientific co-operation,M-2015-0187,EFSA 2nd Scientific Conference - Shaping the future - EXPO,Scientific Committee & Emerging Risks,-,Other areas,30/06/2016,Negotiated Deadline,28/07/2015,-,-,-,-
EFSA-Q-2015-00516,Under Consideration,Application,M-2015-0186,Request for the evaluation of Pramia Plastic Oy recycling process (Starlinger iV+)for direct food contact application,Food Ingredients and Packaging,CEF,Food contact materials,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00515,Registration not yet completed,Public consultation,M-2015-0173,-,Food Ingredients and Packaging,-,Enzymes,-,Negotiated Deadline,-,-,-,-,-
EFSA-Q-2015-00514,In progress,Application,M-2015-0185,Request for EFSA to finalise the reporting table for the basic substance sweet whey in accordance with Article 23 of Regulation (EC) No 1107/2009.,Pesticides,-,Pesticides,08/12/2015,Legal Deadline,09/09/2015,-,-,-,-
EFSA-Q-2015-00513,Under Consideration,Application,M-2014-0264,Request for an EFSA peer review (EFSA Conclusion) on the active substance fluoxastrobin according to Article 13 of Regulation (EU) No 844/2012.,Pesticides,-,Pesticides,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00512,Under Consideration,Application,M-2014-0264,Request for an EFSA peer review (EFSA Conclusion) on the active substance propineb according to Article 13 of Regulation (EU) No 844/2012.,Pesticides,-,Pesticides,-,Legal Deadline,-,-,-,-,-
EFSA-Q-2015-00511,In progress,Application,M-2015-0015,Request for EFSA to finalise the reporting table on confirmatory data concerning the risk assessment of sulfuryl fluoride.,Pesticides,-,Pesticides peer review - confirmatory data,03/10/2015,Legal Deadline,04/09/2015,-,-,-,-
EFSA-Q-2015-00510,-,Art 31 – Scientific and technical assistance,M-2015-0184,-,Not Yet Assigned,-,Contaminants in Feed,30/09/2015,-,-,-,-,-,-
EFSA-Q-2015-00509,In progress,Application,M-2015-0015,Request for EFSA to finalise the reporting table on confirmatory data concerning the risk assessment of metam.,Pesticides,-,Pesticides peer review - confirmatory data,30/09/2015,Legal Deadline,01/09/2015,-,-,-,-
